Speaker		Gender	NumLines	Play	TopVillain	Fools
Hamlet		Male	1506	Hamlet		
Iago		Male	1088	Othello	yes	
King Henry		Male	1031	Henry V		
Othello		Male	880	Othello		
Timon		Male	850	Timon of Athens		
Duke		Male	847	Measure for Measure		
Antony		Male	839	Antony and Cleopatra		
Lear		Male	749	King Lear		
King Edward		Male	748	King Edward III		
Brutus		Male	722	Julius Caesar		
Macbeth		Male	715	Macbeth	yes	
Titus		Male	711	Titus Andronicus		
Leontes		Male	686	The Winter's Tale		
Richard		Male	685	Richard III	yes	
Rosalind		Female	685	As You Like It		
Cleopatra		Female	678	Antony and Cleopatra		
Coriolanus		Male	675	Coriolanus		
Prospero		Male	656	The Tempest		
Falstaff		Male	641	Henry IV Part 2		fool
Romeo		Male	617	Romeo and Juliet		
Pericles		Male	602	Pericles		
Falstaff		Male	602	Henry IV Part 1		fool
Innogen		Female	594	Cymbeline		
Palamon		Male	593	The Two Noble Kinsmen		
Berowne		Male	592	Love's Labour's Lost		
Petruchio		Male	589	The Taming of the Shrew		
Menenius		Male	578	Coriolanus		
Portia		Female	574	The Merchant of Venice		
Prince Hal		Male	572	Henry IV Part 1		
Hotspur		Male	559	Henry IV Part 1		
King		Male	552	Hamlet		
Juliet		Female	542	Romeo and Juliet		
Troilus		Male	537	Troilus and Cressida		
Bastard		Male	523	King John		
Arcite		Male	521	The Two Noble Kinsmen		
Cassius		Male	507	Julius Caesar		
Ulysses		Male	485	Troilus and Cressida		
Helena		Female	478	All's Well That Ends Well		
King Richard		Male	466	Richard III		
King Richard		Male	463	Richard II		
King Henry		Male	459	Henry VIII		
Proteus		Male	446	The Two Gentlemen of Verona		
Posthumus		Male	442	Cymbeline		
Falstaff		Male	438	The Merry Wives of Windsor		
King John		Male	437	King John		
Wolsey		Male	437	Henry VIII		
Warwick		Male	435	Henry VI Part 3		
Benedick		Male	430	Much Ado About Nothing		
Iachimo		Male	430	Cymbeline		
Edward		Male	428	Henry VI Part 3		
Isabella		Female	424	Measure for Measure		
Caesar		Male	419	Antony and Cleopatra		
Pandarus		Male	414	Troilus and Cressida		
Talbot		Male	406	Henry VI Part 1		
Edgar		Male	392	King Lear		
Desdemona		Female	391	Othello		
Valentine		Male	391	The Two Gentlemen of Verona		
Richard		Male	390	Henry VI Part 3		
King		Male	380	All's Well That Ends Well		
York		Male	379	Henry VI Part 2		
Emilia		Female	374	The Two Noble Kinsmen		
Buckingham		Male	374	Richard III		
Parolles		Male	373	All's Well That Ends Well		
Kent		Male	368	King Lear		
King		Male	363	Henry VI Part 3		
Aaron		Male	357	Titus Andronicus	yes	
Polonius		Male	357	Hamlet		
Shylock		Male	352	The Merchant of Venice		
Enobarbus		Male	346	Antony and Cleopatra		
Leonato		Male	344	Much Ado About Nothing		
Sir Toby		Male	343	Twelfth Night		
King Henry		Male	339	Henry IV Part 1		
Gloucester		Male	338	King Lear		
Bassanio		Male	336	The Merchant of Venice		
Belarius		Male	336	Cymbeline		
Viola		Female	335	Twelfth Night		
Paulina		Female	332	The Winter's Tale		
Friar		Male	332	Romeo and Juliet		
Antony		Male	329	Julius Caesar		
Marcus		Male	329	Titus Andronicus		
Mistress Page		Female	328	The Merry Wives of Windsor		
Theseus		Male	328	The Two Noble Kinsmen		
Daughter		Female	324	The Two Noble Kinsmen		
Bolingbroke		Male	324	Richard II		
Don Pedro		Male	323	Much Ado About Nothing		
Julia		Female	322	The Two Gentlemen of Verona		
Angelo		Male	320	Measure for Measure		
Queen		Female	316	Henry VI Part 2		
Olivia		Female	314	Twelfth Night		
King		Male	314	Henry VI Part 2		
Prince Henry		Male	313	Henry IV Part 2		
King		Male	311	Love's Labour's Lost		
Volumnia		Female	311	Coriolanus		
Gower		Male	307	Pericles		
Edmund		Male	307	King Lear	yes	
Feste		Male	306	Twelfth Night		fool
Gloucester		Male	303	Henry VI Part 2		
Sicinius		Male	302	Coriolanus		
Orlando		Male	301	As You Like It		
Cressida		Female	301	Troilus and Cressida		
Ford		Male	300	The Merry Wives of Windsor		
Suffolk		Male	298	Henry VI Part 2		
Camillo		Male	298	The Winter's Tale		
Lucio		Male	296	Measure for Measure		
Horatio		Male	294	Hamlet		
Richard		Male	293	Richard II		
King Henry Iv		Male	291	Henry IV Part 2		
Antipholus Of Syracuse		Male	291	The Comedy of Errors		
Tranio		Male	291	The Taming of the Shrew		
Countess		Female	291	All's Well That Ends Well		
Autolycus		Male	291	The Winter's Tale		fool
Cymbeline		Male	290	Cymbeline	yes	
Princess		Female	288	Love's Labour's Lost		
York		Male	286	Richard II		
Thersites		Male	283	Troilus and Cressida		fool
Touchstone		Male	283	As You Like It		fool
Celia		Female	282	As You Like It		
Claudio		Male	282	Much Ado About Nothing		
Malvolio		Male	281	Twelfth Night		
Prince		Male	281	King Edward III		
Queen		Female	279	Henry VI Part 3		
Beatrice		Female	279	Much Ado About Nothing		
Cominius		Male	278	Coriolanus		
Fluellen		Male	278	Henry V		
Bertram		Male	277	All's Well That Ends Well		
Nurse		Female	277	Romeo and Juliet		
Lafew		Male	276	All's Well That Ends Well		
Aufidius		Male	274	Coriolanus		
Cassio		Male	274	Othello		
Capulet		Male	272	Romeo and Juliet		
Polixenes		Male	272	The Winter's Tale		
Queen Elizabeth		Female	272	Richard III		
King John		Male	271	King Edward III		
Constance		Female	264	King John		
Adriana		Female	263	The Comedy of Errors		
Queen Katherine		Female	261	Henry VIII		
Cloten		Male	260	Cymbeline		
Lady		Female	259	Macbeth		
Mercutio		Male	259	Romeo and Juliet		
Tamora		Female	257	Titus Andronicus	yes	
